emoji,name,jscode
🍕,pizza,\u{1F355}
🍔,burg,\u{1F354}
🍟,fries,\u{1F35F}
🌭,hotdog,\u{1F32D}
🍿,popcorn,\u{1F37F}
🧂,salt,\u{1F9C2}
🥓,bacon,\u{1F953}
🥚,egg,\u{1F95A}
🍳,fried egg,\u{1F373}
🧇,waffle,\u{1F9C7}
🥞,pancake,\u{1F95E}
🧈,butter,\u{1F9C8}
🍞,bread,\u{1F35E}
🥐,croissant,\u{1F950}
🥨,pretzel,\u{1F968}
🥯,bagel,\u{1F96F}
🥖,baguette,\u{1F956}
🧀,cheese,\u{1F9C0}
🥗,salad,\u{1F957}
🥙,doner kebab,\u{1F959}
🥪,sandwich,\u{1F96A}
🌮,taco,\u{1F32E}
🌯,burryeeto,\u{1F32F}
🥫,soup,\u{1F96B}
🍖,morsel,\u{1F356}
🍗,chicken leg,\u{1F357}
🥩,steak,\u{1F969}
🍠,sweet potato,\u{1F360}
🥟,dumpling,\u{1F95F}
🥠,fortune cookie,\u{1F960}
🥡,chinese food,\u{1F961}
🍱,sadness,\u{1F371}
🍘,rice cracker,\u{1F358}
🍙,rice ball,\u{1F359}
🍚,rice,\u{1F35A}
🍛,curry and rice,\u{1F35B}
🍜,noodles,\u{1F35C}
🦪,oyster,\u{1F9AA}
🍣,sushi,\u{1F363}
🍤,shrimp,\u{1F364}
🍥,fish cake,\u{1F365}
🥮,moon cake,\u{1F96E}
🍢,oden,\u{1F362}
🧆,falafels,\u{1F9C6}
🥘,paella,\u{1F958}
🍲,pot of food,\u{1F372}
🍝,spaghetti,\u{1F35D}
🥣,bowl of food,\u{1F963}
🥧,pie,\u{1F967}
🍦,ice cream cone,\u{1F366}
🍧,ice cone,\u{1F367}
🍨,sundae,\u{1F368}
🍩,dough nut,\u{1F369}
🍪,cookie,\u{1F36A}
🎂,cake,\u{1F382}
🍰,cake slice,\u{1F370}
🧁,muffin,\u{1F9C1}
🍫,chocolate,\u{1F36B}
🍬,hard candy,\u{1F36C}
🍭,lolipop,\u{1F36D}
🍡,dango,\u{1F361}
🍮,jello,\u{1F36E}
🍯,honey,\u{1F36F}
🍼,formula,\u{1F37C}
🥛,water,\u{1F95B}
🧃,juice,\u{1F9C3}
☕,coffee,\u{2615}
🍵,tea,\u{1F375}
🧉,mate drink,\u{1F9C9}
🍶,sake,\u{1F376}
🍾,wine,\u{1F37E}
🍷,wine,\u{1F377}
🍸,cocktail,\u{1F378}
🍹,tropical drink,\u{1F379}
🍺,beer,\u{1F37A}
🍻,a lot of beer,\u{1F37B}
🥂,fancy beer,\u{1F942}
🥃,shots,\u{1F943}
🧊,ice,\u{1F9CA}
🥤,cup with straw,\u{1F964}
🏺,a vase for some reason,\u{1F3FA}
🥝,kiwi,\u{1F95D}
🥥,coconut,\u{1F965}
🍇,grapes,\u{1F347}
🍈,melon,\u{1F348}
🍉,watermelon,\u{1F349}
🍊,tangerine,\u{1F34A}
🍋,lemon,\u{1F34B}
🍌,banana,\u{1F34C}
🍍,pineapple,\u{1F34D}
🥭,mango,\u{1F96D}
🍎,apple,\u{1F34E}
🍏,apple,\u{1F34F}
🍐,pear,\u{1F350}
🍑,peach,\u{1F351}
🍒,cherry,\u{1F352}
🍓,strawberry,\u{1F353}
🍅,tomato,\u{1F345}
🍆,eggplant,\u{1F346}
🌽,corn,\u{1F33D}
🌶,hot pepper,\u{1F336}
🍄,shrooms,\u{1F344}
🥑,avocado,\u{1F951}
🥒,pickle,\u{1F952}
🥬,leafy greens,\u{1F96C}
🥦,broccoli,\u{1F966}
🥔,potato,\u{1F954}
🧄,garlic,\u{1F9C4}
🧅,onion,\u{1F9C5}
🥕,carrot,\u{1F955}
🌰,chestnut,\u{1F330}
🥜,peanut,\u{1F95C}
